year,week_number,avg_cloud_cover,total_sunshine,avg_radiation,max_temp,avg_temp,min_temp,total_precip,avg_pressure,max_snow_depth
1979,1,5.714285714285714,14.5,26.571428571428573,8.5,-1.699999954019274,-7.5,6.299999803304672,102124.28571428571,9
1979,2,4.428571428571429,28.000000454485416,39.285714285714285,6.7,1.957142868212291,-7.1,13.199999690055847,100914.28571428571,1
1979,3,7.8,0,15.4,7.2,2.359999966621399,-1.4,11.7999999076128,101802,0
1979,4,6,12.599999904632568,33.142857142857146,5.6,-0.42857141367026735,-5.6,21.499999977648258,100262.85714285714,6
1979,5,5.142857142857143,13.599999822676182,37.57142857142857,9.1,2.171428518635886,-4.1,17.000000573694706,100084.28571428571,0
1979,6,6.666666666666667,9.500000178813934,37.333333333333336,6.8,2.4166667064030967,-1.6,13.400000095367432,100203.33333333333,0
1979,7,7.571428571428571,2.5000000968575478,29.571428571428573,8.1,0.22857137024402618,-3.7,15.90000019222498,100455.71428571429,1
1979,8,5.333333333333333,20.00000035762787,65.33333333333333,8.7,2.6666667064030967,-3.4,2.499999977648258,103298.33333333333,0
1979,9,6,21.699999906122684,79.83333333333333,12.6,6.133333404858907,-2.7,7.200000181794167,101521.66666666667,0
1979,10,5.142857142857143,24.400000169873238,88.85714285714286,13.8,6.385714326586042,-0.1,17.699999809265137,100980,0
1979,11,6.857142857142857,13.500000476837158,74.57142857142857,9.1,3.6714285016059875,0.1,37.799999356269836,100124.28571428571,1
1979,12,4.857142857142857,35.29999960958958,126.28571428571429,15.3,5.742857047489712,-3,16.10000043362379,100260,0
1979,13,7,13.900000110268593,92.57142857142857,11.6,5.985714299338205,0.3,20.599999703466892,99795.71428571429,0
1979,14,5.857142857142857,13.699999906122684,100.14285714285714,13.7,4.557142904826573,-1.7,39.40000019222498,100691.42857142857,0
1979,15,6.428571428571429,36.40000009536743,159,22.4,12.54285730634417,5.3,10.499999597668648,100748.57142857143,0
1979,16,6,28.499999523162842,141.57142857142858,14.5,9.04285717010498,1.2,6.399999976158142,102212.85714285714,0
1979,17,6.285714285714286,18.30000025779009,129.14285714285714,13.9,9.014285836900983,2.1,18.40000055730343,101097.14285714286,0
1979,18,4.714285714285714,51.39999943971634,212,15,5.785714217594692,-0.9,16.09999979287386,101214.28571428571,0
1979,19,6.428571428571429,35.99999985843897,180,26.1,12.42857129233224,3.9,18.19999924302101,102494.28571428571,0
1979,20,4,69.29999923706055,251.71428571428572,26.2,14.514285632542201,4.6,17.30000002682209,101208.57142857143,0
1979,21,5.285714285714286,43.699999928474426,212.14285714285714,15.9,11.142857142857142,5.4,29.199999570846558,100497.14285714286,0
1979,22,6.857142857142857,21.600000262260437,161.42857142857142,21.2,14.61428587777274,7.2,8.199999786913395,101851.42857142857,0
1979,23,6.142857142857143,22.599999964237213,162.14285714285714,20.4,14.214285578046526,7.3,9.699999809265137,101810,0
1979,24,6.857142857142857,11.600000336766243,130.28571428571428,22.6,14.071428571428571,7.4,21.799999810755253,101637.14285714286,0
1979,25,3.5714285714285716,54.50000011920929,241,25.8,16.800000054495676,10.3,2.100000023841858,101825.71428571429,0
1979,26,5.428571428571429,40.500000573694706,210.28571428571428,21.4,14.914285796029228,9,2.0999999046325684,101941.42857142857,0
1979,27,4.714285714285714,50.19999980926514,231.57142857142858,25.5,17.842857088361466,11.5,0.5,102494.28571428571,0
1979,28,5.428571428571429,56.30000078678131,239,26.2,18.114285605294363,11.6,0,102234.28571428571,0
1979,29,6,28.599999345839024,168.57142857142858,26.7,17.157142911638534,9.4,0,101750,0
1979,30,5.714285714285714,37.20000031590462,188,29.9,19.1857145854405,12.3,16.600000001490116,101905.71428571429,0
1979,31,5.714285714285714,39.099999606609344,192.42857142857142,24.8,17.69999967302595,11.4,8.600000143051147,100985.71428571429,0
1979,32,6.142857142857143,27.200000047683716,162,25,18.000000136239187,9.9,15.499999895691872,101195.71428571429,0
1979,33,6.142857142857143,25.000000588595867,139.57142857142858,22.8,16.742857251848495,9.8,9.300000190734863,101127.14285714286,0
1979,34,5.142857142857143,42.40000033378601,179.71428571428572,19.8,14.614285741533552,8,4.599999859929085,101291.42857142857,0
1979,35,4.142857142857143,55.10000067949295,189.14285714285714,26,16.82857118334089,5.7,4.4999998807907104,102065.71428571429,0
1979,36,3.8333333333333335,41.700000643730164,164.5,25.9,17.333333651224773,10,0,101841.66666666667,0
1979,37,3.5714285714285716,54.59999990463257,163.14285714285714,23.2,14.314285687037877,4.7,0,102307.14285714286,0
1979,38,4.714285714285714,32.299999713897705,110.28571428571429,20.4,13.214285441807338,4.3,16.099999964237213,101647.14285714286,0
1979,39,5.857142857142857,32.200000286102295,107.71428571428571,21,13.871428625924247,6.8,0.20000000298023224,102425.71428571429,0
1979,40,5.428571428571429,33.60000032186508,101.85714285714286,21.7,14.271428653172084,6.1,2.9999998807907104,101182.85714285714,0
1979,41,6.142857142857143,30.000000476837158,87.57142857142857,21.1,15.400000163487025,8.9,31.900000013411045,100224.28571428571,0
1979,42,5.666666666666667,24.299999833106995,76.83333333333333,18,12.300000031789144,6.3,1,102346.66666666667,0
1979,43,5.428571428571429,20.90000033378601,59.42857142857143,13.7,9.871428762163434,0.9,29.19999933242798,101240,0
1979,44,5.571428571428571,24.59999990463257,55.42857142857143,15.1,9.657142775399345,1.8,10.100000023841858,101490,0
1979,45,5.142857142857143,18.20000009983778,42.857142857142854,13.8,7.614285673413958,-1.8,23.899999976158142,100885.71428571429,0
