season,year,avg_cloud_cover,total_sunshine,avg_radiation,max_temp,avg_temp,min_temp,total_precip,avg_pressure,max_snow_depth
Autumn,1979,5.27906976744186,352.000001527369,85.61627906976744,25.9,11.777906997259272,-1.8,136.69999919831753,101514.53488372093,0
Spring,1979,5.793478260869565,406.4999984949827,143.9673913043478,26.2,8.605434795436652,-3,259.4999982640147,100993.80434782608,1
Summer,1979,5.510869565217392,494.1000026986003,188.2173913043478,29.9,16.531521734984025,5.7,92.69999961555004,101744.02173913043,0
Winter,1979,5.892857142857143,151.30000127106905,32.04761904761905,15.6,3.1404761838771047,-7.5,193.9999991133809,101043.45238095238,9
Autumn,1980,5.241758241758242,336.3000014051795,78.42857142857143,25,10.938461581429282,-1.2,150.60000180453062,101505.4945054945,0
Spring,1980,5.195652173913044,465.50000178813934,152.9891304347826,26.2,9.233695644399393,-5.1,119.79999903589487,101596.08695652174,0
Summer,1980,5.434782608695652,525.9000014439225,191.5108695652174,29,16.249999989633974,7.2,217.80000176280737,101364.34782608696,0
Winter,1980,5.648351648351649,188.3000011369586,34.62637362637363,13.3,5.007692300929473,-6,99.89999971538782,101685.71428571429,0
Autumn,1981,5.373626373626373,316.3000004515052,78.02197802197803,25.5,11.107692254768622,-0.3,205.2000000923872,101484.61538461539,0
Spring,1981,6.119565217391305,298.6999983638525,125.83695652173913,22.4,10.105434757211935,-0.6,202.9999999254942,101143.15217391304,0
Summer,1981,5.391304347826087,518.9000035077333,192.32608695652175,28.8,16.609782581743985,5.5,141.4999973475933,101883.26086956522,0
Winter,1981,5.50561797752809,180.60000097751617,34.348314606741575,13.9,3.3719101016608515,-11.8,121.69999968260527,101508.53932584269,22
Autumn,1982,5.318681318681318,281.1000004261732,73.23076923076923,28.3,11.876923093183356,-4.7,221.60000003874302,101205.71428571429,0
Spring,1982,4.684782608695652,556.9999976828694,168.4673913043478,26.6,9.754347881545192,-3.3,146.199999704957,101806.84782608696,0
Summer,1982,5.25,514.9999995306134,193.04347826086956,29.3,17.572826084883317,8.5,148.79999978095293,101572.39130434782,0
Winter,1982,5.722222222222222,159.00000029802322,32.022222222222226,13.3,4.66333333949248,-10.1,133.20000069588423,101561.11111111111,18
Autumn,1983,5.483516483516484,270.59999994933605,70.85714285714286,24.4,11.662637393553178,-7,124.09999941289425,101672.52747252748,0
Spring,1983,5.684782608695652,375.59999987483025,140.33695652173913,22.6,8.821739155313242,-1.4,208.1000000834465,101055.97826086957,0
Summer,1983,4.315217391304348,655.7000006884336,217.4673913043478,32.8,19.046739194704138,7,73.69999898225069,101952.71739130435,0
Winter,1983,5.544444444444444,195.20000130683184,35.833333333333336,14,5.2933333238793745,-5.1,129.09999936074018,101872.66666666667,3
Autumn,1984,5.637362637362638,264.7000014409423,69.75824175824175,25.4,12.078021966494047,0.6,226.0000004172325,100979.23076923077,0
Spring,1984,5.4021739130434785,426.59999991208315,145.40217391304347,23.7,8.601086992284525,-3.1,169.70000138878822,101610.76086956522,0
Summer,1984,4.6521739130434785,670.5999955907464,221.40217391304347,31.7,18.079347848892212,6.6,83.10000016540289,101837.82608695653,0
Winter,1984,5.522222222222222,208.70000106841326,36.44444444444444,13,4.994444446927972,-3,162.90000034868717,101524.88888888889,0
Autumn,1985,5.076923076923077,350.800000667572,79.97802197802197,27,11.04065937262315,-5.7,59.60000066459179,101943.84615384616,0
Spring,1985,5.489130434782608,426.39999894052744,146.72826086956522,22,9.088043442238932,-3.4,132.1000021621585,101272.17391304347,0
Summer,1985,5.434782608695652,595.8999992758036,205.8913043478261,29.8,16.13369573717532,3.9,182.9999992698431,101416.63043478261,0
Winter,1985,5.9222222222222225,164.2000005096197,33.144444444444446,16.6,3.9988888850642574,-8,151.600001193583,101586.33333333333,5
Autumn,1986,5.241758241758242,346.89999958127737,80.18681318681318,22,11.28791209105607,1.7,161.29999940097332,101886.15384615384,0
Spring,1986,5.586956521739131,431.8999996781349,148.92391304347825,22,8.34565219088741,-3.9,156.499999538064,101260.97826086957,3
Summer,1986,5.510869565217392,564.5999991595745,199.91304347826087,30.6,16.75108704359635,5.9,138.5000008866191,101666.84782608696,0
Winter,1986,5.5,179.80000042915344,33.65555555555556,14.8,3.4811111006471847,-9.6,180.69999754428864,101367.66666666667,8
Autumn,1987,5.5,307.6000024303794,77.44444444444444,24.7,11.321111130714417,-2.6,254.99999783188105,101376.55555555556,0
Spring,1987,5.358695652173913,456.4000000730157,152.07608695652175,23.7,9.256521751861209,-4,136.69999966025352,101658.80434782608,1
Summer,1987,5.760869565217392,481.29999965429306,183.93478260869566,29.2,16.452173854993738,5.3,204.40000004321337,101507.60869565218,0
